dateid	type	money_type	category	amount
20141217	1	2	4	7125800
20141217	1	2	8	8026900
20141217	1	2	13	3510000
20141217	2	1	-22	236700
20141217	2	1	-21	4551145
20141217	2	1	-18	122935000
20141217	2	1	-7	545000
20141217	2	1	-6	42705000
20141217	2	1	-1	167558500
20141217	2	2	-14	8989400
20141218	1	1	1	162872076
20141218	1	1	20	2508792
20141218	1	1	29	15308800
20141218	1	1	37	196411000
20141218	1	1	47	9652000
20141218	1	1	54	1127000
20141218	1	1	60	66410500
20141218	1	1	64	5180000
20141218	1	1	65	90000
20141218	1	1	66	67555000
20141218	1	1	67	4990000
20141218	1	1	70	16350000
20141218	1	1	71	1991000
20141218	1	2	4	7079800
20141218	1	2	8	7515500
20141218	1	2	13	3626500
20141218	2	1	-22	209800
20141218	2	1	-21	4391492
20141218	2	1	-18	263225500
20141218	2	1	-7	523000
20141218	2	1	-6	42495000
20141218	2	1	-1	242989500
20141218	2	2	-14	8996100
20141219	1	1	1	5343859
20141219	1	1	20	22996
20141219	1	1	29	542900
20141219	1	1	37	7569000
20141219	1	1	60	1703000
20141219	1	1	64	295000
20141219	1	1	66	2246000
20141219	1	1	67	60000
20141219	1	1	70	600000
20141219	1	1	71	50000
20141219	1	2	4	109200
20141219	1	2	8	4800
20141219	1	2	13	286500
20141219	2	1	-22	7900
20141219	2	1	-21	101196
20141219	2	1	-18	7685500
20141219	2	1	-7	12000
20141219	2	1	-6	1230000
20141219	2	1	-1	7172800
20141219	2	2	-14	174700
